"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$148000","$51500","$94000"
"GE Appliances","China/Haier Group","$2000","$2000","$0"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$355650","$203000","$152650"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$0","$0","$0"
"Genesee & Wyoming (Brookfield Asset Management)","Canada/Brookfield Asset Management","$58815","$8000","$50815"
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$13500","$4000","$9500"
"Glenfarne Energy Transition (Glenfarne Group)","Australia/Glenfarne Group","$2000","$1000","$1000"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$1000","$1000","$0"
"Greyhound Lines (FlixBus Inc)","Germany/Flixbus Inc","$6000","$4000","$2000"
"GSK plc","UK/GlaxoSmithKline","$179000","$71000","$104500"
"Haleon plc","UK/Haleon plc","$59500","$19500","$40000"
"Hannover Life Reassurance Co","Germany/Hannover Re","$17500","$5000","$12500"
"Headwaters Inc","Australia/Boral Ltd","$6000","$0","$6000"
"Heidelberg Materials US","Germany/Heidelberg Materials","$149500","$22500","$127000"
"Heineken USA","Netherlands/L'Arche Green NV","$27000","$14000","$13000"
"Herbalife International of America","UK/Herbalife Nutrition","$26000","$6000","$20000"
"Holcim US (Holcim Group)","Switzerland/Holcim Group","$16700","$9500","$7200"
"Horizon Therapeutics (Amgen Inc)","Ireland/Horizon Pharma PLC","$103000","$49500","$51000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$121500","$65500","$58500"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$17000","$12000","$5000"
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$18000","$3500","$14500"
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$30400","$25400","$5000"
"Infineon Technologies","Germany/Infineon Technologies AG","$12000","$5500","$5500"
"Intelsat US","Luxembourg/Intelsat Holdings","$52250","$25000","$27250"
"Intergraph Corp","Sweden/Hexagon AB","$3000","$0","$3000"
"International Motors LLC (Volkswagen AG)","Germany/Volkswagen Group","$24250","$9000","$15250"
"Ipsen Biopharmaceuticals","France/Ipsen SA","$48800","$23300","$22000"
"ITG Brands (Imperial Brands)","UK/Imperial Brands","$47500","$28000","$18500"
"JBS USA","Brazil/JBS SA","$88000","$34000","$56500"
"John Hancock Life Insurance","Canada/Manulife Financial","$135100","$66000","$67100"
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$200500","$107000","$93500"
"Leonardo DRS","Italy/Leonardo SpA","$215500","$59500","$153500"
"Liberty Utilities (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$0","$0","$0"
"Lincare Holdings (Linde plc)","UK/Linde plc","$24500","$4000","$18000"
"Linde plc (Linde plc)","UK/Linde Plc","$6000","$5000","$1000"
"Livanova USA","UK/Livanova Plc","$9000","$3000","$6000"
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$19500","$0","$19500"
