file,PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
"data/Foreign Connected PACs, 1999-2000.csv",7-Eleven,Japan/Ito-Yokado,"$8,500","$1,500","$7,000"
"data/Foreign Connected PACs, 1999-2000.csv",ABB Group,Switzerland/Asea Brown Boveri,"$46,000","$17,000","$28,500"
"data/Foreign Connected PACs, 1999-2000.csv",Accenture,UK/Accenture plc,"$75,984","$23,000","$52,984"
"data/Foreign Connected PACs, 1999-2000.csv",ACE INA,UK/ACE Group,"$38,500","$12,500","$26,000"
"data/Foreign Connected PACs, 1999-2000.csv",Acuson Corp (Siemens AG),Germany/Siemens AG,"$2,000","$2,000",$0
"data/Foreign Connected PACs, 1999-2000.csv",Adtranz (DaimlerChrysler),Germany/DaimlerChrysler AG,"$10,500","$10,000",$500
"data/Foreign Connected PACs, 1999-2000.csv",AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$24,000","$10,000","$14,000"
"data/Foreign Connected PACs, 1999-2000.csv",AEGON USA (AEGON NV),Netherlands/Aegon NV,"$58,250","$10,500","$47,750"
"data/Foreign Connected PACs, 1999-2000.csv",AIM Management Group,UK/AMVESCAP,"$25,000","$10,000","$15,000"
"data/Foreign Connected PACs, 1999-2000.csv",Air Liquide America,France/L'Air Liquide SA,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Alcatel USA,France/Alcatel,"$21,000","$6,000","$15,000"
"data/Foreign Connected PACs, 1999-2000.csv",Aliant Communications,Canada/BCE,"$2,000","$1,000","$1,000"
"data/Foreign Connected PACs, 1999-2000.csv",Allfirst Financial,Ireland/Allied Irish Banks,"$11,900","$6,950","$4,950"
"data/Foreign Connected PACs, 1999-2000.csv",Allied Domecq Spirits & Wine,UK/Allied Domecq,"$41,800","$6,200","$35,600"
"data/Foreign Connected PACs, 1999-2000.csv",AMP Inc (Tyco International),Ireland/Tyco International,"$17,750","$1,250","$16,500"
"data/Foreign Connected PACs, 1999-2000.csv",Anglogold Ltd,UK/Anglo American PLC,"$14,000","$4,000","$10,000"
"data/Foreign Connected PACs, 1999-2000.csv",APL Ltd,Singapore/Neptune Orient Lines Ltd,"$20,200","$5,450","$14,750"
"data/Foreign Connected PACs, 1999-2000.csv",Aqua-Chem Inc,France/Lyonnaise des Eaux-Dumez Group,"$1,639",$0,"$1,639"
"data/Foreign Connected PACs, 1999-2000.csv",ASARCO LLC,Mexico/Nueva Grupo Mexico,"$20,735","$2,000","$18,735"
"data/Foreign Connected PACs, 1999-2000.csv",AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$131,155","$28,250","$102,905"
"data/Foreign Connected PACs, 1999-2000.csv",Atlantic Richfield (BP),UK/BP PLC,"$106,454","$30,979","$75,475"
"data/Foreign Connected PACs, 1999-2000.csv",ATOFINA Chemicals (TotalFinaElf),France/TOTAL FINA ELF,"$25,650","$5,650","$20,000"
"data/Foreign Connected PACs, 1999-2000.csv",ATOFINA Petrochemicals (TotalFinaElf),France/TotalFinaElf,"$25,000","$9,250","$15,750"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis CropScience (Aventis),France/Aventis,"$23,500","$12,500","$11,000"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis Pasteur USA (Aventis),France/Aventis,"$107,500","$54,500","$53,000"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis Pharmaceuticals (Aventis),France/Aventis,"$18,000","$1,500","$16,500"
"data/Foreign Connected PACs, 1999-2000.csv",Aventis Pharmaceuticals Products (Aventis),France/Aventis,"$48,700","$7,500","$41,200"
"data/Foreign Connected PACs, 1999-2000.csv",Bacardi USA (Bacardi Ltd),UK/Bacardi Ltd,$500,$0,$500
"data/Foreign Connected PACs, 1999-2000.csv",Bacardi USA (Bacardi Ltd),UK/Bacardi Ltd,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",BAE Systems North America (BAE Systems),UK/BAE Systems,"$243,639","$98,580","$145,059"
"data/Foreign Connected PACs, 1999-2000.csv",Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$73,250","$20,075","$53,175"
"data/Foreign Connected PACs, 1999-2000.csv",BASF Corp,Germany/BASF Group,"$219,250","$31,500","$185,750"
"data/Foreign Connected PACs, 1999-2000.csv",Bayer Corp,Germany/Bayer AG,"$245,500","$57,500","$188,000"
"data/Foreign Connected PACs, 1999-2000.csv",Bear Creek Corp (Yamanouchi Consumer),Japan/Yamanouchi Consumer,"$4,500","$1,500","$3,000"
"data/Foreign Connected PACs, 1999-2000.csv",BHP Holdings,Australia/Broken Hill Proprietary,"$4,250","$1,500","$2,750"
"data/Foreign Connected PACs, 1999-2000.csv",Bird-Johnson Co (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$6,500","$4,000","$2,500"
"data/Foreign Connected PACs, 1999-2000.csv",Blue Circle America (Blue Circle Industries),UK/Blue Circle Industries,"$31,500","$5,000","$26,500"
"data/Foreign Connected PACs, 1999-2000.csv",BOC Group,UK/BOC Group,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",BP (BP),UK/BP PLC,"($3,000)","($3,000)",$0
"data/Foreign Connected PACs, 1999-2000.csv",BP North America (BP),UK/BP PLC,"$204,000","$56,500","$147,500"
"data/Foreign Connected PACs, 1999-2000.csv",Brinson Partners,Switzerland/UBS AG,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Brown & Williamson Tobacco,UK/British American Tobacco,"$363,550","$116,500","$243,050"
"data/Foreign Connected PACs, 1999-2000.csv",Budd Co,Germany/ThyssenKrupp AG,"$14,000","$1,000","$13,000"
"data/Foreign Connected PACs, 1999-2000.csv",Burns International Services (Securitas AB),Sweden/Securitas AB,$500,$0,$500
"data/Foreign Connected PACs, 1999-2000.csv",Burson-Marsteller (WPP Group),UK/WPP Group,"$83,500","$46,500","$37,000"
"data/Foreign Connected PACs, 1999-2000.csv",Business Men's Assurance Co,Italy/Assicurazioni Generali,"$4,000","$2,000","$2,000"
"data/Foreign Connected PACs, 1999-2000.csv",Cable & Wireless USA,UK/Cable & Wireless PLC,"$67,000","$27,000","$40,000"
"data/Foreign Connected PACs, 1999-2000.csv",Case New Holland,Italy/Fiat SPA,"$59,000","$8,500","$50,500"
"data/Foreign Connected PACs, 1999-2000.csv",Celanese Americas Corp,Germany/Celanese AG,"$43,850","$16,500","$26,850"
"data/Foreign Connected PACs, 1999-2000.csv",Central Soya Co,Italy/Montedison,"$10,500","$1,000","$9,500"
"data/Foreign Connected PACs, 1999-2000.csv",CGU Corp,UK/CGU PLC,$500,$500,$0
"data/Foreign Connected PACs, 1999-2000.csv",Ciba Specialty Chemicals,Switzerland/Ciba Specialty Chemicals Holding,"$19,500","$4,000","$15,500"
"data/Foreign Connected PACs, 1999-2000.csv",CIBC Oppenheimer,Canada/Canadian Imperial Bank of Commerce,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$4,000","$3,000","$1,000"
"data/Foreign Connected PACs, 1999-2000.csv",Cominco American,Canada/Cominco Ltd,"$5,000",$0,"$5,000"
"data/Foreign Connected PACs, 1999-2000.csv",Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch Shell,"$27,500","$3,500","$23,500"
"data/Foreign Connected PACs, 1999-2000.csv",Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$18,500",$500,"$18,000"
"data/Foreign Connected PACs, 1999-2000.csv",Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$225,857","$99,857","$126,000"
"data/Foreign Connected PACs, 1999-2000.csv",CSR America,Australia/CSR Ltd,"$102,750","$9,000","$93,750"
"data/Foreign Connected PACs, 1999-2000.csv",DaimlerChrysler (DaimlerChrysler),Germany/DaimlerChrysler AG,"$450,100","$166,650","$283,450"
"data/Foreign Connected PACs, 1999-2000.csv",Deutsche Bank North America,Germany/Deutsche Bank AG,"$144,000","$67,000","$77,000"
"data/Foreign Connected PACs, 1999-2000.csv",Equitable Life Assurance Society (AXA),France/AXA,"$133,000","$62,000","$71,000"
"data/Foreign Connected PACs, 1999-2000.csv",Equitable of Iowa Companies (ING Group),Netherlands/ING Group,"$8,200","$3,700","$4,500"
"data/Foreign Connected PACs, 1999-2000.csv",Essroc Corp,Italy/Italcementi Group,"$2,500",$0,"$2,500"
"data/Foreign Connected PACs, 1999-2000.csv",Excel Communications,Canada/BCE Inc,"$15,500","$11,500","$4,000"
"data/Foreign Connected PACs, 1999-2000.csv",Experian (GUS plc),UK/GUS plc,"$5,250",$750,"$4,500"
"data/Foreign Connected PACs, 1999-2000.csv",Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$52,594","$4,000","$48,594"
"data/Foreign Connected PACs, 1999-2000.csv",Fireman's Fund Insurance (Allianz),Germany/Allianz AG Holding,"$63,900","$17,050","$46,850"
"data/Foreign Connected PACs, 1999-2000.csv",Food Lion,Belgium/Delhaize Group,"$25,000","$13,750","$11,250"
"data/Foreign Connected PACs, 1999-2000.csv",Fortis Inc,Belgium/Fortis AG,"$8,500","$2,500","$6,000"
"data/Foreign Connected PACs, 1999-2000.csv",GEC-Marconi Hazeltine (BAE Systems),UK/BAE Systems,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Genentech Inc (Roche Holdings),Switzerland/Roche Group,"$123,250","$62,750","$60,500"
"data/Foreign Connected PACs, 1999-2000.csv",Gilman Paper,Mexico/Grupo Industrial Durango,"$12,412",$0,"$12,412"
"data/Foreign Connected PACs, 1999-2000.csv",GKN Corp,UK/GKN PLC,"$4,775",$0,"$4,775"
"data/Foreign Connected PACs, 1999-2000.csv",GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$604,759","$109,998","$494,761"
"data/Foreign Connected PACs, 1999-2000.csv",GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$135,500","$35,750","$99,750"
"data/Foreign Connected PACs, 1999-2000.csv",Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$12,065","$7,315","$4,750"
"data/Foreign Connected PACs, 1999-2000.csv",Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$46,000","$5,000","$41,000"
"data/Foreign Connected PACs, 1999-2000.csv",Greyhound Lines,Canada/Laidlaw,"$36,500","$20,000","$16,500"
"data/Foreign Connected PACs, 1999-2000.csv",Guinness/UDV North America (Diageo PLC),UK/Diageo PLC,"$97,500","$48,500","$49,000"
"data/Foreign Connected PACs, 1999-2000.csv",Heublein UDV (Diageo plc),UK/Diageo PLC,"$1,500",$500,"$1,000"
"data/Foreign Connected PACs, 1999-2000.csv",Hill & Knowlton (WPP Group),UK/WPP Group,"$42,500","$21,000","$21,500"
"data/Foreign Connected PACs, 1999-2000.csv",Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$143,249","$48,000","$95,249"
"data/Foreign Connected PACs, 1999-2000.csv",Holnam Inc,Switzerland/Holderbank Financiere Glaris,"$52,250","$12,000","$40,250"
"data/Foreign Connected PACs, 1999-2000.csv",HSBC USA,UK/HSBC Holdings,"$7,160","$3,500","$3,660"
"data/Foreign Connected PACs, 1999-2000.csv",ING US (ING Group),Netherlands/ING Group,"$86,500","$25,000","$61,500"
"data/Foreign Connected PACs, 1999-2000.csv",Instinet Corp,UK/Reuters Group,"$47,800","$17,250","$30,550"
"data/Foreign Connected PACs, 1999-2000.csv",JA Jones Construction (Philipp Holzmann AG),Germany/Philipp Holzmann AG,"$1,250","$1,000",$250
"data/Foreign Connected PACs, 1999-2000.csv",Jackson National Life Insurance,UK/Prudential PLC,"$77,100","$19,500","$57,600"
"data/Foreign Connected PACs, 1999-2000.csv",Joseph E Seagram & Sons (Vivendi Universal),France/Vivendi Universal,"$117,822","$50,000","$67,822"
"data/Foreign Connected PACs, 1999-2000.csv",Kennecott Energy,UK/Rio Tinto PLC,"$71,045","$12,000","$59,045"
"data/Foreign Connected PACs, 1999-2000.csv",LaFarge Corp,France/Lafarge SA,"$21,550","$10,100","$11,450"
"data/Foreign Connected PACs, 1999-2000.csv",LaSalle National Corp (ABN AMRO),Netherlands/ABN Amro Holding,"$23,075","$12,375","$10,700"
"data/Foreign Connected PACs, 1999-2000.csv",Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$13,500","$2,000","$11,500"
"data/Foreign Connected PACs, 1999-2000.csv",Lehigh Portland Cement,Germany/HeidelbergCement AG,"$11,500","$3,000","$8,500"
"data/Foreign Connected PACs, 1999-2000.csv",Lone Star Industries,Germany/Dyckerfhoff,"$7,000","$1,000","$6,000"
"data/Foreign Connected PACs, 1999-2000.csv",Loral Space & Communications,UK/Loral Space & Communications,"$107,000","$86,000","$21,000"
"data/Foreign Connected PACs, 1999-2000.csv",Louisville Gas & Electric,UK/PowerGen,"$5,000",$0,"$5,000"
"data/Foreign Connected PACs, 1999-2000.csv",Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$37,000","$7,500","$29,500"
"data/Foreign Connected PACs, 1999-2000.csv",Mallinckrodt Pharmaceuticals (Tyco International),Ireland/Tyco International,"$149,400","$55,500","$93,900"
"data/Foreign Connected PACs, 1999-2000.csv",Massachusetts Financial Services,Canada/Sun Life Financial Services,"$21,000","$11,500","$9,500"
"data/Foreign Connected PACs, 1999-2000.csv",Master Builders Inc,Germany/E.ON AG,"$2,000",$0,"$2,000"
"data/Foreign Connected PACs, 1999-2000.csv",Michigan National Bank,Australia/National Australia Bank,"$16,500","$1,000","$15,500"
"data/Foreign Connected PACs, 1999-2000.csv",National Grid USA (National Grid plc),UK/National Grid plc,"$52,000","$33,000","$19,000"
"data/Foreign Connected PACs, 1999-2000.csv",National Steel Corp,Japan/NKK Corp,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",NCS Pearson (Pearson PLC),UK/Pearson PLC,$600,$300,$300
"data/Foreign Connected PACs, 1999-2000.csv",Nestle USA (Nestle SA),Switzerland/Nestle,"$52,000","$13,000","$37,500"
"data/Foreign Connected PACs, 1999-2000.csv",News America Publishing,Australia/News Corp,"$82,500","$31,000","$51,500"
"data/Foreign Connected PACs, 1999-2000.csv",Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$157,969","$33,733","$124,236"
"data/Foreign Connected PACs, 1999-2000.csv",Oldcastle Materials,Ireland/CRH PLC,"$81,841","$28,000","$53,841"
"data/Foreign Connected PACs, 1999-2000.csv",ONDEO Nalco (SUEZ SA),France/Suez Lyonnaise des Eaux,"$35,750","$4,750","$31,000"
"data/Foreign Connected PACs, 1999-2000.csv",Oppenheimer Capital (Allianz),Germany/Allianz AG Holding,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Organon Inc,Netherlands/Akzo Nobel,"$2,250",$250,"$2,000"
"data/Foreign Connected PACs, 1999-2000.csv",PacifiCorp,UK/Scottish Power,"$11,500","$4,250","$7,250"
"data/Foreign Connected PACs, 1999-2000.csv",PaineWebber,Switzerland/UBS AG,"$85,950","$29,950","$56,000"
"data/Foreign Connected PACs, 1999-2000.csv",Peter Pan Seafoods,Japan/Nichiro Corp,"$1,700",$0,"$1,700"
"data/Foreign Connected PACs, 1999-2000.csv",Philips Electronics North America,Netherlands/Philips Electronics,"$55,700","$6,500","$49,200"
"data/Foreign Connected PACs, 1999-2000.csv",Pilkington North America,UK/Pilkington Group,"$13,500","$1,000","$12,500"
"data/Foreign Connected PACs, 1999-2000.csv",Pillsbury Co (Diageo PLC),UK/Diageo PLC,"$33,000","$8,500","$24,500"
"data/Foreign Connected PACs, 1999-2000.csv",Pinkerton Tobacco,Sweden/Swedish Match AB,"$49,750","$8,000","$40,750"
"data/Foreign Connected PACs, 1999-2000.csv",Reed Elsevier Inc,UK/Reed Elsevier Group,"$10,250","$4,250","$6,000"
"data/Foreign Connected PACs, 1999-2000.csv",Reliastar Financial (ING Group),Netherlands/ING Group,"$54,096","$21,715","$32,381"
"data/Foreign Connected PACs, 1999-2000.csv",Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce International,"$54,629","$15,218","$39,411"
"data/Foreign Connected PACs, 1999-2000.csv",Roquette America,France/Roquette Freres,"$3,750","$3,000",$750
"data/Foreign Connected PACs, 1999-2000.csv",Sagem Morpho Inc,France/Sagem SA,"$2,000","$2,000",$0
"data/Foreign Connected PACs, 1999-2000.csv",Sea-Land Service (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$74,100","$24,500","$49,350"
"data/Foreign Connected PACs, 1999-2000.csv",Security Life of Denver (ING Group),Netherlands/ING Group,"$13,600","$4,100","$9,500"
"data/Foreign Connected PACs, 1999-2000.csv",Serono Inc,Switzerland/Serono SA,"$7,000","$5,000","$2,000"
"data/Foreign Connected PACs, 1999-2000.csv",Shaklee Corp (Yamanouchi Consumer),Japan/Yamanouchi Pharmaceutical,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch/Shell Group of Companies,"$118,600","$29,500","$89,100"
"data/Foreign Connected PACs, 1999-2000.csv",Siemens Corp (Siemens AG),Germany/Siemans AG,"$10,000","$4,000","$6,000"
"data/Foreign Connected PACs, 1999-2000.csv",Siemens ElectroCom (Siemens AG),Germany/Siemens AG,"$4,500","$1,000","$3,500"
"data/Foreign Connected PACs, 1999-2000.csv",Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$78,750","$50,000","$28,750"
"data/Foreign Connected PACs, 1999-2000.csv",Standard Federal Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$2,750",$0,"$2,750"
"data/Foreign Connected PACs, 1999-2000.csv",Syngenta Corp,Switzerland/Syngenta AG,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Syntex (USA) Inc (Roche Holdings),Switzerland/Roche Holdings,"$8,750","$6,250","$2,500"
"data/Foreign Connected PACs, 1999-2000.csv",Tate & Lyle North American Sugars (Tate & Lyle),UK/Tate & Lyle,"$2,100","$2,100",$0
"data/Foreign Connected PACs, 1999-2000.csv",Timex Corp,Netherlands/Timex Group,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Tractebel,Belgium/Tractabel,"$2,000",$0,"$2,000"
"data/Foreign Connected PACs, 1999-2000.csv",TransAmerica (Aegon NV),Netherlands/Aegon NV,"$31,000","$8,000","$23,000"
"data/Foreign Connected PACs, 1999-2000.csv",UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$9,750","$7,750","$2,000"
"data/Foreign Connected PACs, 1999-2000.csv",United Water Resources (SUEZ SA),France/SUEZ SA,"$9,035","$7,450","$1,585"
"data/Foreign Connected PACs, 1999-2000.csv",Universal Studios (Vivendi Universal),France/Vivendi Universal,"$148,750","$65,500","$83,250"
"data/Foreign Connected PACs, 1999-2000.csv",US Surgical Corp (Tyco International),Ireland/Tyco International,"$7,100",$0,"$7,100"
"data/Foreign Connected PACs, 1999-2000.csv",USFilter Corp (Vivendi Universal),France/Vivendi Universal,"$17,250","$15,000","$2,250"
"data/Foreign Connected PACs, 1999-2000.csv",Vodafone Group,UK/Vodafone Group,"$49,850","$14,600","$35,250"
"data/Foreign Connected PACs, 1999-2000.csv",Westfield Corp,Australia/Westfield Group of Australia,"$29,850","$19,350","$10,500"
"data/Foreign Connected PACs, 1999-2000.csv",Westinghouse Electric (BNFL PLC),UK/BNFL PLC,"$27,000","$8,000","$19,000"
"data/Foreign Connected PACs, 1999-2000.csv",Westinghouse Electric (BNFL PLC),UK/British Nuclear Fuels PLC,$250,$250,$0
"data/Foreign Connected PACs, 1999-2000.csv",Wexler Group (WPP Group),UK/WPP Group,"$121,093","$53,000","$68,093"
"data/Foreign Connected PACs, 1999-2000.csv",Zenith Electronics,South Korea/LG Electronics,$0,$0,$0
"data/Foreign Connected PACs, 1999-2000.csv",Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$80,787","$25,250","$55,537"
"data/Foreign Connected PACs, 2001-2002.csv",7-Eleven,Japan/Ito-Yokado,"$7,070","$2,528","$4,542"
"data/Foreign Connected PACs, 2001-2002.csv",ABB Group,Switzerland/Asea Brown Boveri,"$34,500","$18,750","$15,750"
"data/Foreign Connected PACs, 2001-2002.csv",Accenture,UK/Accenture plc,"$220,947","$94,242","$126,705"
"data/Foreign Connected PACs, 2001-2002.csv",ACE INA,UK/ACE Group,"$77,250","$31,500","$45,750"
"data/Foreign Connected PACs, 2001-2002.csv",Acuson Corp (Siemens AG),Germany/Siemens AG,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$28,500","$12,500","$16,000"
"data/Foreign Connected PACs, 2001-2002.csv",AEGON USA (AEGON NV),Netherlands/Aegon NV,"$164,500","$73,500","$91,000"
"data/Foreign Connected PACs, 2001-2002.csv",AIM Management Group,UK/AMVESCAP,"$24,500","$8,500","$16,000"
"data/Foreign Connected PACs, 2001-2002.csv",Air Liquide America,France/L'Air Liquide SA,"$2,650","$2,000",$650
"data/Foreign Connected PACs, 2001-2002.csv",Alcatel USA,France/Alcatel,"$13,750","$4,500","$9,250"
"data/Foreign Connected PACs, 2001-2002.csv",Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$2,000","$1,000","$1,000"
"data/Foreign Connected PACs, 2001-2002.csv",Allfirst Financial,Ireland/Allied Irish Banks,"$6,320","$3,820","$2,500"
"data/Foreign Connected PACs, 2001-2002.csv",Allianz of America (Allianz),Germany/Allianz AG Holding,"$60,750","$19,100","$41,650"
"data/Foreign Connected PACs, 2001-2002.csv",Allied Domecq Spirits & Wine,UK/Allied Domecq,"$32,250","$6,000","$26,250"
"data/Foreign Connected PACs, 2001-2002.csv",American Water Works Co (RWE AG),Germany/RWE AG,"$32,900","$12,850","$20,050"
"data/Foreign Connected PACs, 2001-2002.csv",AMP Inc (Tyco International),Ireland/Tyco International,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",Anglogold Ltd,UK/Anglo American PLC,"$11,850","$3,000","$8,850"
"data/Foreign Connected PACs, 2001-2002.csv",APL Ltd,Singapore/Neptune Orient Lines Ltd,"$15,360","$5,250","$10,110"
"data/Foreign Connected PACs, 2001-2002.csv",Aqua-Chem Inc,France/Lyonnaise des Eaux-Dumez Group,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",ASARCO LLC,Mexico/Nueva Grupo Mexico,"$2,000",$0,"$2,000"
"data/Foreign Connected PACs, 2001-2002.csv",AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$125,800","$38,050","$87,750"
"data/Foreign Connected PACs, 2001-2002.csv",ATOFINA Chemicals (TotalFinaElf),France/TOTAL FINA ELF,"$26,600","$7,100","$19,500"
"data/Foreign Connected PACs, 2001-2002.csv",ATOFINA Petrochemicals (TotalFinaElf),France/TotalFinaElf,"$2,500","$1,000","$1,500"
"data/Foreign Connected PACs, 2001-2002.csv",Austin Nichols & Co,France/Pernod Ricard SA,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",Aventis Pasteur USA (Aventis),France/Aventis,"$137,040","$75,790","$61,250"
"data/Foreign Connected PACs, 2001-2002.csv",Aventis Pharmaceuticals (Aventis),France/Aventis,"$116,000","$24,500","$91,500"
"data/Foreign Connected PACs, 2001-2002.csv",Aventis Pharmaceuticals Products (Aventis),France/Aventis,"$15,267",$0,"$15,267"
"data/Foreign Connected PACs, 2001-2002.csv",Babcock & Wilcox (McDermott International),Panama/McDermott International,"$30,500","$10,000","$20,500"
"data/Foreign Connected PACs, 2001-2002.csv",Bacardi USA,UK/Bacardi Ltd,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",BAE Systems North America (BAE Systems),UK/BAE Systems,"$390,276","$149,028","$241,248"
"data/Foreign Connected PACs, 2001-2002.csv",Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$75,000","$33,500","$41,500"
"data/Foreign Connected PACs, 2001-2002.csv",BASF Corp,Germany/BASF Group,"$204,500","$41,500","$163,000"
"data/Foreign Connected PACs, 2001-2002.csv",Bayer Corp (Bayer AG),Germany/Bayer AG,"$260,500","$73,000","$187,500"
"data/Foreign Connected PACs, 2001-2002.csv",Bayer CropScience (Bayer AG),Germany/Bayer AG,"$36,000","$15,500","$20,500"
"data/Foreign Connected PACs, 2001-2002.csv",Bear Creek Corp (Yamanouchi Consumer),Japan/Yamanouchi Consumer,"$10,150","$5,050","$5,100"
"data/Foreign Connected PACs, 2001-2002.csv",BHP Holdings,Australia/BHP Billiton,"$1,023",$400,$623
"data/Foreign Connected PACs, 2001-2002.csv",Bird-Johnson Co (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$3,000",$500,"$2,500"
"data/Foreign Connected PACs, 2001-2002.csv",Blue Circle America (Lafarge SA),France/Lafarge SA,"$8,500","$1,000","$7,500"
"data/Foreign Connected PACs, 2001-2002.csv",BOC Group,UK/BOC Group,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$24,000","$10,500","$13,500"
"data/Foreign Connected PACs, 2001-2002.csv",BP North America,UK/BP PLC,"$175,000","$65,750","$109,250"
"data/Foreign Connected PACs, 2001-2002.csv",Bridgestone Americas,Japan/Bridgestone Corp,"$60,200","$24,200","$36,000"
"data/Foreign Connected PACs, 2001-2002.csv",Brown & Williamson Tobacco,UK/British American Tobacco,"$242,324","$44,000","$198,324"
"data/Foreign Connected PACs, 2001-2002.csv",Budd Co,Germany/ThyssenKrupp AG,"$1,000","$1,000",$0
"data/Foreign Connected PACs, 2001-2002.csv",Burns International Services (Securitas AB),Sweden/Securitas AB,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",Burson-Marsteller (WPP Group),UK/WPP Group,"$91,540","$38,040","$52,500"
"data/Foreign Connected PACs, 2001-2002.csv",Business Men's Assurance Co,Italy/Assicurazioni Generali,"$2,500","$1,500","$1,000"
"data/Foreign Connected PACs, 2001-2002.csv",BWX Technologies (McDermott International),Panama/McDermott International,"$38,650","$10,050","$28,600"
"data/Foreign Connected PACs, 2001-2002.csv",Cable & Wireless USA,UK/Cable & Wireless PLC,"$52,100","$24,000","$28,100"
"data/Foreign Connected PACs, 2001-2002.csv",Case New Holland,Italy/Fiat SPA,"$46,500","$4,500","$42,000"
"data/Foreign Connected PACs, 2001-2002.csv",Celanese Americas Corp,Germany/Celanese AG,"$74,500","$22,500","$52,000"
"data/Foreign Connected PACs, 2001-2002.csv",Central Soya Co,France/Cereol,"$11,300","$2,000","$9,300"
"data/Foreign Connected PACs, 2001-2002.csv",CGU Corp,UK/CGNU PLC,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",Ciba Specialty Chemicals,Switzerland/Ciba Specialty Chemicals Holding,"$29,500","$7,500","$22,000"
"data/Foreign Connected PACs, 2001-2002.csv",CIBC Oppenheimer,Canada/Canadian Imperial Bank of Commerce,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$7,250","$6,250","$1,000"
"data/Foreign Connected PACs, 2001-2002.csv",Cooper Industries,Ireland/Cooper Industries Ltd,"$187,500",$0,"$187,500"
"data/Foreign Connected PACs, 2001-2002.csv",Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch Shell,$0,$0,$0
"data/Foreign Connected PACs, 2001-2002.csv",Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$298,312","$135,812","$162,500"
